id,NAME_SIM,BEG,END,X,Y,TYPE_SIM,PARTOF_SIM
ntu_1,臺北縣,189506,189508,121.4087604,24.9406514,縣（廳）,
ntu_2,臺南縣,189506,189508,120.4705363,22.7700753,縣（廳）,
ntu_3,臺灣縣,189506,189508,120.5354403,23.790863,縣（廳）,
ntu_4,澎湖島廳,189506,189508,119.5683154,23.5469717,縣（廳）,
ntu_5,安平支廳,189506,189508,120.424251,23.0404382,支廳,臺南縣
ntu_6,宜蘭支廳,189506,189508,121.7724335,24.7786252,支廳,臺北縣
ntu_7,恆春支廳,189506,189508,120.7823401,22.0433559,支廳,臺南縣
ntu_8,埔里支廳,189506,189508,120.8761122,23.9329008,支廳,臺灣縣
ntu_9,基隆支廳,189506,189508,121.7448881,25.0951514,支廳,臺北縣
ntu_10,淡水事務所,189506,189508,121.4161483,25.1456502,支廳,臺北縣
ntu_11,雲林支廳,189506,189508,120.4734932,23.6944607,支廳,臺灣縣
ntu_12,新竹支廳,189506,189508,121.0478581,24.8184691,支廳,臺北縣
ntu_13,嘉義支廳,189506,189508,120.3675261,23.3562151,支廳,臺灣縣
ntu_14,彰化支廳,189506,189508,120.4838095,23.9508291,支廳,臺灣縣
ntu_15,臺北縣,189506,189508,121.4459472,24.9831432,支廳,臺北縣
ntu_16,臺灣縣,189506,189508,120.7327511,24.2590034,支廳,臺灣縣
ntu_17,鳳山支廳,189506,189508,120.4493107,22.6940236,支廳,臺南縣
ntu_18,二結堡,189506,189508,121.7763243,24.7017806,堡,宜蘭支廳
ntu_19,八里坌堡,189506,189508,121.3598494,25.0899076,堡,淡水事務所
ntu_20,三貂堡,189506,189508,121.8736047,25.0284105,堡,基隆支廳
ntu_21,大加蚋堡,189506,189508,121.5523169,25.0436838,堡,臺北縣
ntu_22,文山堡,189506,189508,121.6268636,24.9556192,堡,臺北縣
ntu_23,四圍堡,189506,189508,121.7573479,24.8016379,堡,宜蘭支廳
ntu_24,本城堡,189506,189508,121.7445098,24.7613102,堡,宜蘭支廳
ntu_25,民壯圍堡,189506,189508,121.7846015,24.7431607,堡,宜蘭支廳
ntu_26,石碇堡,189506,189508,121.7088835,25.0738287,堡,基隆支廳
ntu_27,竹北堡,189506,189508,121.1023747,24.9340191,堡,新竹支廳
ntu_28,竹南堡,189506,189508,120.9369094,24.6483722,堡,新竹支廳
ntu_29,竹塹堡,189506,189508,121.0276184,24.7462503,堡,新竹支廳
ntu_30,利澤簡堡,189506,189508,121.8270395,24.6349202,堡,宜蘭支廳
ntu_31,芝蘭一堡,189506,189508,121.5566176,25.1128878,堡,臺北縣
ntu_32,芝蘭二堡,189506,189508,121.5075519,25.1489377,堡,臺北縣
ntu_33,芝蘭三堡,189506,189508,121.4923088,25.2210582,堡,淡水事務所
ntu_34,金包里堡,189506,189508,121.6129369,25.2073272,堡,基隆支廳
ntu_35,紅水溝堡,189506,189508,121.7603001,24.6448579,堡,宜蘭支廳
ntu_36,茅仔寮堡,189506,189508,121.8075614,24.6940444,堡,宜蘭支廳
ntu_37,員山堡,189506,189508,121.7050703,24.7453997,堡,宜蘭支廳
ntu_38,桃澗堡,189506,189508,121.2451484,24.9515822,堡,臺北縣
ntu_39,海山堡,189506,189508,121.3444705,24.9229246,堡,臺北縣
ntu_40,浮州堡,189506,189508,121.6782235,24.6891759,堡,宜蘭支廳
ntu_41,基隆堡,189506,189508,121.7841747,25.1273482,堡,基隆支廳
ntu_42,清水溝堡,189506,189508,121.7368392,24.6884477,堡,宜蘭支廳
ntu_43,興直堡,189506,189508,121.459718,25.06684,堡,臺北縣
ntu_44,頭圍堡,189506,189508,121.8220073,24.9153667,堡,宜蘭支廳
ntu_45,擺接堡,189506,189508,121.460106,24.9943273,堡,臺北縣
ntu_46,羅東堡,189506,189508,121.7814402,24.6635683,堡,宜蘭支廳
ntu_47,臺北縣,189508,189604,121.4087604,24.9406514,縣（廳、民政支部）,
ntu_48,臺灣民政支部,189508,189604,120.6172123,24.0025307,縣（廳、民政支部）,
ntu_49,臺南民政支部,189508,189604,120.427504,23.0138832,縣（廳、民政支部）,
ntu_50,澎湖島廳,189508,189604,119.5683154,23.5469717,縣（廳、民政支部）,
ntu_51,三角湧出張所,189508,189604,121.3444705,24.9229246,支廳（出張所）,臺北縣
ntu_52,士林出張所,189508,189604,121.5384367,25.1262458,支廳（出張所）,臺北縣
ntu_53,大嵙崁出張所,189508,189604,121.2451484,24.9515822,支廳（出張所）,臺北縣
ntu_54,坊橋出張所,189508,189604,121.4599784,25.0181763,支廳（出張所）,臺北縣
ntu_55,宜蘭支廳,189508,189604,121.7724335,24.7786252,支廳（出張所）,臺北縣
ntu_56,恆春出張所,189508,189604,120.7823401,22.0433559,支廳（出張所）,臺南民政支部
ntu_57,苗栗出張所,189508,189604,120.7651219,24.471036,支廳（出張所）,臺灣民政支部
ntu_58,埔里社出張所,189508,189604,120.8761122,23.9329008,支廳（出張所）,臺灣民政支部
ntu_59,基隆支廳,189508,189604,121.7448881,25.0951514,支廳（出張所）,臺北縣
ntu_60,淡水支廳,189508,189604,121.4161483,25.1456502,支廳（出張所）,臺北縣
ntu_61,深坑街出張所,189508,189604,121.6268636,24.9556192,支廳（出張所）,臺北縣
ntu_62,鹿港出張所,189508,189604,120.4838095,23.9508291,支廳（出張所）,臺灣民政支部
ntu_63,雲林出張所,189508,189604,120.4734932,23.6944607,支廳（出張所）,臺灣民政支部
ntu_64,新竹支廳,189508,189604,121.0478581,24.8184691,支廳（出張所）,臺北縣
ntu_65,嘉義出張所,189508,189604,120.3675261,23.3562151,支廳（出張所）,臺南民政支部
ntu_66,臺北市出張所,189508,189604,121.5523169,25.0436838,支廳（出張所）,臺北縣
ntu_67,臺南民政支部,189508,189604,120.424251,23.0404382,支廳（出張所）,臺南民政支部
ntu_68,臺灣民政支部,189508,189604,120.7110683,24.1169782,支廳（出張所）,臺灣民政支部
ntu_69,鳳山出張所,189508,189604,120.449019,22.6928325,支廳（出張所）,臺南民政支部
ntu_70,二林下堡,189508,189604,120.3795381,23.9385491,堡（里）,鹿港出張所
ntu_71,二林上堡,189508,189604,120.4382815,23.9598526,堡（里）,鹿港出張所
ntu_72,二結堡,189508,189604,121.7763243,24.7017806,堡（里）,宜蘭支廳
ntu_73,八里坌堡,189508,189604,121.3598494,25.0899076,堡（里）,淡水支廳
ntu_74,三貂堡,189508,189604,121.8736047,25.0284105,堡（里）,基隆支廳
ntu_75,下茄苳北堡,189508,189604,120.3553521,23.3748211,堡（里）,嘉義出張所
ntu_76,下茄苳南堡,189508,189604,120.4075451,23.3750881,堡（里）,嘉義出張所
ntu_77,噍吧哖庄,189508,189604,120.4936087,23.1422258,堡（里）,臺南民政支部
ntu_78,大加蚋堡,189508,189604,121.5523169,25.0436838,堡（里）,臺北市出張所
ntu_79,大目降庄,189508,189604,120.3351137,23.0478063,堡（里）,臺南民政支部
ntu_80,大目根堡,189508,189604,120.5808665,23.5085824,堡（里）,嘉義出張所
ntu_81,大竹里,189508,189604,120.3094079,22.6175738,堡（里）,鳳山出張所
ntu_82,大肚下堡,189508,189604,120.5451896,24.1518888,堡（里）,臺灣民政支部
ntu_83,大肚上堡,189508,189604,120.5814929,24.2857441,堡（里）,臺灣民政支部
ntu_84,大肚中堡,189508,189604,120.5498224,24.2181593,堡（里）,臺灣民政支部
ntu_85,大坵田西堡,189508,189604,120.1778945,23.4159984,堡（里）,嘉義出張所
ntu_86,大坵田東堡,189508,189604,120.3923833,23.7007158,堡（里）,雲林出張所
ntu_87,大槺榔西堡,189508,189604,120.2734516,23.4959354,堡（里）,嘉義出張所
ntu_88,大槺榔東堡a,189508,189604,120.2726591,23.5931759,堡（里）,雲林出張所
